#{"t_start": 1744369313.067574, "env_id": "None"}
r,l,t
-1.0,32,14.464585
-0.5,10,16.731403
-0.5,22,21.489221
-1.0,41,29.371697
-1.0,34,36.409585
-1.0,66,49.154027
-0.5,30,55.455057
-1.0,7,57.885132
-1.0,19,62.121159
-1.0,8,64.241571
-1.0,15,68.231142
-0.5,24,73.703017
-1.0,31,81.034399
-1.0,21,85.903212
-0.5,34,92.979518
-1.0,37,100.301411
-1.0,38,108.175324
-0.5,24,113.297307
-1.0,15,116.810633
-1.0,13,119.979633
-0.5,19,123.908337
-1.0,31,129.940921
-1.0,42,138.627297
-1.0,40,146.658645
-1.0,12,149.442632
-0.5,35,156.246572
-1.0,41,164.744533
-1.0,39,172.975863
-1.0,15,176.686636
-1.0,17,180.918566
-0.5,31,187.482727
-1.0,32,194.133828
-0.5,40,203.208202
-1.0,41,211.791639
-1.0,37,219.761649
-1.0,27,226.051856
-0.5,22,230.883331
-1.0,26,237.172429
-1.0,26,243.247926
0.248594,1,244.000542
-1.0,24,249.135714
-1.0,33,256.033676
-1.0,39,264.060623
8828,18,224.433877
-1.0,64,233.004166
-1.0,75,242.35884
-1.0,61,250.781902
-0.5,31,254.893654
-1.0,54,261.785729
-1.0,97,273.399468
